Plant,Production_Line,Product,Planned_Production_Units,Actual_Production_Units,Machine_Available_Hours,Machine_Run_Hours,Production_Capacity_Units
Pune Manufacturing Unit,Line 1,Industrial Gear Housing,4200,4050,720,665,4300
Pune Manufacturing Unit,Line 2,Hydraulic Valve Body,3600,3420,680,610,3700
Pune Manufacturing Unit,Line 3,Electric Motor Casing,3900,3780,700,642,4050
Pune Manufacturing Unit,Line 4,Precision Coupling,3000,2910,620,570,3150
Vadodara Manufacturing Unit,Line 1,Industrial Gear Housing,4500,4410,740,690,4650
Vadodara Manufacturing Unit,Line 2,Hydraulic Valve Body,3800,3650,690,618,3950
Vadodara Manufacturing Unit,Line 3,Electric Motor Casing,4100,3895,710,650,4300
Vadodara Manufacturing Unit,Line 4,Precision Coupling,3200,3040,640,585,3350
Chennai Manufacturing Unit,Line 1,Industrial Gear Housing,4000,3760,700,625,4200
Chennai Manufacturing Unit,Line 2,Hydraulic Valve Body,3500,3290,660,570,3650
Chennai Manufacturing Unit,Line 3,Electric Motor Casing,3700,3500,680,605,3900
Chennai Manufacturing Unit,Line 4,Precision Coupling,2900,2740,600,548,3050
Nashik Manufacturing Unit,Line 1,Industrial Gear Housing,4300,4210,730,680,4450
Nashik Manufacturing Unit,Line 2,Hydraulic Valve Body,3700,3515,675,602,3850
Nashik Manufacturing Unit,Line 3,Electric Motor Casing,4000,3820,705,640,4150
Nashik Manufacturing Unit,Line 4,Precision Coupling,3100,2960,625,575,3250
