Plant,Material,Closing_Inventory_Units,Safety_Stock_Units
Pune Manufacturing Unit,Cold Rolled Steel Sheet,235,260
Pune Manufacturing Unit,Polyamide Granules,265,300
Pune Manufacturing Unit,Copper Busbar,150,180
Pune Manufacturing Unit,Industrial Adhesive,120,160
Vadodara Manufacturing Unit,Aluminium Ingot,205,240
Vadodara Manufacturing Unit,Engineering Polymer Pellets,315,350
Vadodara Manufacturing Unit,Silicone Sealant,135,160
Vadodara Manufacturing Unit,Stainless Steel Coil,220,250
Chennai Manufacturing Unit,Electrical Grade Steel,225,300
Chennai Manufacturing Unit,Glass Fibre Reinforced Nylon,250,280
Chennai Manufacturing Unit,Copper Rod,170,210
Chennai Manufacturing Unit,Thermoplastic Elastomer,125,160
Nashik Manufacturing Unit,Carbon Steel Bar,310,250
Nashik Manufacturing Unit,High Density Polyethylene,285,300
Nashik Manufacturing Unit,Brass Rod,195,220
Nashik Manufacturing Unit,Industrial Epoxy Resin,145,170
